mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_components,param_shrinkage,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,split30_test_score,split31_test_score,split32_test_score,split33_test_score,split34_test_score,split35_test_score,split36_test_score,split37_test_score,split38_test_score,split39_test_score,split40_test_score,split41_test_score,split42_test_score,split43_test_score,split44_test_score,split45_test_score,split46_test_score,split47_test_score,split48_test_score,split49_test_score,mean_test_score,std_test_score,rank_test_score
0.025266194343566896,0.007227202197989271,0.028987436294555663,0.0017796528988034419,2,0.1,lsqr,"{'n_components': 2, 'shrinkage': 0.1, 'solver': 'lsqr'}",0.9746870583207565,0.9741317662418357,0.970141560669491,0.9713081069713463,0.9739080973129994,0.9685684701561537,0.9732238443000509,0.9772567432829431,0.9752462934670042,0.970795607255248,0.9680050241411792,0.9755533971197508,0.9730269644499016,0.9720124243320534,0.9759046069785942,0.9788192946196176,0.9722973432941651,0.9741414035425583,0.9679514023496798,0.9711679693605839,0.9717288699845378,0.9704037416222757,0.9759092815446543,0.9738327262854766,0.9730629532800776,0.9756482448862493,0.9708219311577061,0.9696026288859951,0.9737532309773964,0.9754733584050905,0.9728693532970732,0.9706085967506318,0.9728382168847027,0.9733049304893424,0.9753783909119205,0.9759172102703895,0.9725359121661945,0.9734668445151744,0.9741343564330982,0.9685613274198571,0.973334341954652,0.9746106459068695,0.9660959069961329,0.9732401323912139,0.9775617202683543,0.9740367210656494,0.975096266005119,0.9728264077396247,0.9726889714023079,0.9695535344261165,0.972940882649796,0.0026327578088900603,1
0.024288525581359865,0.0009995113342683923,0.02965437412261963,0.001003849259658275,2,0.1,eigen,"{'n_components': 2, 'shrinkage': 0.1, 'solver': 'eigen'}",0.9746870583207565,0.9741317662418357,0.970141560669491,0.9713081069713463,0.9739080973129994,0.9685684701561537,0.9732238443000509,0.9772567432829431,0.9752462934670042,0.970795607255248,0.9680050241411792,0.9755533971197508,0.9730269644499016,0.9720124243320534,0.9759046069785942,0.9788192946196176,0.9722973432941651,0.9741414035425583,0.9679514023496798,0.9711679693605839,0.9717288699845378,0.9704037416222757,0.9759092815446543,0.9738327262854766,0.9730629532800776,0.9756482448862493,0.9708219311577061,0.9696026288859951,0.9737532309773964,0.9754733584050905,0.9728693532970732,0.9706085967506318,0.9728382168847027,0.9733049304893424,0.9753783909119205,0.9759172102703895,0.9725359121661945,0.9734668445151744,0.9741343564330982,0.9685613274198571,0.973334341954652,0.9746106459068695,0.9660959069961329,0.9732401323912139,0.9775617202683543,0.9740367210656494,0.975096266005119,0.9728264077396247,0.9726889714023079,0.9695535344261165,0.972940882649796,0.0026327578088900603,1
0.025119290351867676,0.000775511240007979,0.028906569480895997,0.0009512614881773509,4,0.1,eigen,"{'n_components': 4, 'shrinkage': 0.1, 'solver': 'eigen'}",0.9746870583207565,0.9741317662418357,0.970141560669491,0.9713081069713463,0.9739080973129994,0.9685684701561537,0.9732238443000509,0.9772567432829431,0.9752462934670042,0.970795607255248,0.9680050241411792,0.9755533971197508,0.9730269644499016,0.9720124243320534,0.9759046069785942,0.9788192946196176,0.9722973432941651,0.9741414035425583,0.9679514023496798,0.9711679693605839,0.9717288699845378,0.9704037416222757,0.9759092815446543,0.9738327262854766,0.9730629532800776,0.9756482448862493,0.9708219311577061,0.9696026288859951,0.9737532309773964,0.9754733584050905,0.9728693532970732,0.9706085967506318,0.9728382168847027,0.9733049304893424,0.9753783909119205,0.9759172102703895,0.9725359121661945,0.9734668445151744,0.9741343564330982,0.9685613274198571,0.973334341954652,0.9746106459068695,0.9660959069961329,0.9732401323912139,0.9775617202683543,0.9740367210656494,0.975096266005119,0.9728264077396247,0.9726889714023079,0.9695535344261165,0.972940882649796,0.0026327578088900603,1
0.022925639152526857,0.0007794160264676966,0.028439927101135253,0.0009435745355178335,4,0.1,lsqr,"{'n_components': 4, 'shrinkage': 0.1, 'solver': 'lsqr'}",0.9746870583207565,0.9741317662418357,0.970141560669491,0.9713081069713463,0.9739080973129994,0.9685684701561537,0.9732238443000509,0.9772567432829431,0.9752462934670042,0.970795607255248,0.9680050241411792,0.9755533971197508,0.9730269644499016,0.9720124243320534,0.9759046069785942,0.9788192946196176,0.9722973432941651,0.9741414035425583,0.9679514023496798,0.9711679693605839,0.9717288699845378,0.9704037416222757,0.9759092815446543,0.9738327262854766,0.9730629532800776,0.9756482448862493,0.9708219311577061,0.9696026288859951,0.9737532309773964,0.9754733584050905,0.9728693532970732,0.9706085967506318,0.9728382168847027,0.9733049304893424,0.9753783909119205,0.9759172102703895,0.9725359121661945,0.9734668445151744,0.9741343564330982,0.9685613274198571,0.973334341954652,0.9746106459068695,0.9660959069961329,0.9732401323912139,0.9775617202683543,0.9740367210656494,0.975096266005119,0.9728264077396247,0.9726889714023079,0.9695535344261165,0.972940882649796,0.0026327578088900603,1
0.02465750217437744,0.0006242357237207857,0.028625130653381348,0.0008383556664241513,4,0.3,eigen,"{'n_components': 4, 'shrinkage': 0.3, 'solver': 'eigen'}",0.9742784531950335,0.9732325033602047,0.969296134393564,0.9703706386076097,0.9736411489781098,0.9675444274925729,0.9723285380697216,0.9767802262341216,0.975020731023168,0.9698235856070825,0.9678272765854918,0.9757724680856473,0.9723069262693798,0.9710185574465566,0.975086183041118,0.9773749040850893,0.9720565026618496,0.9730551297509301,0.9672725569208651,0.9701863550852439,0.9707831803358109,0.9700094847465636,0.9755176506371381,0.9723974834680471,0.9727175804889858,0.9745056549640809,0.9699402363008224,0.9691084308941147,0.9728545442582822,0.9747473918456271,0.9716378598284914,0.9702347482992495,0.9720315250888539,0.9728434529888158,0.9743066524881557,0.9751834952909555,0.9725093071213028,0.9724386646530405,0.9735473572212221,0.9673558697306085,0.9727932823052248,0.9733041948789747,0.9650817076174837,0.9726319452867468,0.9774762411384309,0.9739368759123556,0.9742034263707273,0.9719636632253893,0.9725728270658118,0.9685310177404297,0.9722287799817021,0.002691930395649481,5
0.022665572166442872,0.000874930655094047,0.029066009521484373,0.0008497859890345059,2,0.3,lsqr,"{'n_components': 2, 'shrinkage': 0.3, 'solver': 'lsqr'}",0.9742784531950335,0.9732325033602047,0.969296134393564,0.9703706386076097,0.9736411489781098,0.9675444274925729,0.9723285380697216,0.9767802262341216,0.975020731023168,0.9698235856070825,0.9678272765854918,0.9757724680856473,0.9723069262693798,0.9710185574465566,0.975086183041118,0.9773749040850893,0.9720565026618496,0.9730551297509301,0.9672725569208651,0.9701863550852439,0.9707831803358109,0.9700094847465636,0.9755176506371381,0.9723974834680471,0.9727175804889858,0.9745056549640809,0.9699402363008224,0.9691084308941147,0.9728545442582822,0.9747473918456271,0.9716378598284914,0.9702347482992495,0.9720315250888539,0.9728434529888158,0.9743066524881557,0.9751834952909555,0.9725093071213028,0.9724386646530405,0.9735473572212221,0.9673558697306085,0.9727932823052248,0.9733041948789747,0.9650817076174837,0.9726319452867468,0.9774762411384309,0.9739368759123556,0.9742034263707273,0.9719636632253893,0.9725728270658118,0.9685310177404297,0.9722287799817021,0.002691930395649481,5
0.02396283149719238,0.0013611479476099502,0.02868898391723633,0.001116050251187803,2,0.3,eigen,"{'n_components': 2, 'shrinkage': 0.3, 'solver': 'eigen'}",0.9742784531950335,0.9732325033602047,0.969296134393564,0.9703706386076097,0.9736411489781098,0.9675444274925729,0.9723285380697216,0.9767802262341216,0.975020731023168,0.9698235856070825,0.9678272765854918,0.9757724680856473,0.9723069262693798,0.9710185574465566,0.975086183041118,0.9773749040850893,0.9720565026618496,0.9730551297509301,0.9672725569208651,0.9701863550852439,0.9707831803358109,0.9700094847465636,0.9755176506371381,0.9723974834680471,0.9727175804889858,0.9745056549640809,0.9699402363008224,0.9691084308941147,0.9728545442582822,0.9747473918456271,0.9716378598284914,0.9702347482992495,0.9720315250888539,0.9728434529888158,0.9743066524881557,0.9751834952909555,0.9725093071213028,0.9724386646530405,0.9735473572212221,0.9673558697306085,0.9727932823052248,0.9733041948789747,0.9650817076174837,0.9726319452867468,0.9774762411384309,0.9739368759123556,0.9742034263707273,0.9719636632253893,0.9725728270658118,0.9685310177404297,0.9722287799817021,0.002691930395649481,5
0.022950448989868165,0.00077895682418447,0.028336296081542967,0.0009510622671368322,4,0.3,lsqr,"{'n_components': 4, 'shrinkage': 0.3, 'solver': 'lsqr'}",0.9742784531950335,0.9732325033602047,0.969296134393564,0.9703706386076097,0.9736411489781098,0.9675444274925729,0.9723285380697216,0.9767802262341216,0.975020731023168,0.9698235856070825,0.9678272765854918,0.9757724680856473,0.9723069262693798,0.9710185574465566,0.975086183041118,0.9773749040850893,0.9720565026618496,0.9730551297509301,0.9672725569208651,0.9701863550852439,0.9707831803358109,0.9700094847465636,0.9755176506371381,0.9723974834680471,0.9727175804889858,0.9745056549640809,0.9699402363008224,0.9691084308941147,0.9728545442582822,0.9747473918456271,0.9716378598284914,0.9702347482992495,0.9720315250888539,0.9728434529888158,0.9743066524881557,0.9751834952909555,0.9725093071213028,0.9724386646530405,0.9735473572212221,0.9673558697306085,0.9727932823052248,0.9733041948789747,0.9650817076174837,0.9726319452867468,0.9774762411384309,0.9739368759123556,0.9742034263707273,0.9719636632253893,0.9725728270658118,0.9685310177404297,0.9722287799817021,0.002691930395649481,5
0.023141312599182128,0.0004795848484328793,0.029272599220275877,0.0005187920846264152,4,0.5,lsqr,"{'n_components': 4, 'shrinkage': 0.5, 'solver': 'lsqr'}",0.9732505187659379,0.9714201162856272,0.9684743369985485,0.968622913266873,0.9728626486150016,0.9662281633222628,0.9708841128804104,0.9758150963993977,0.9740510904985511,0.9683138358059276,0.9669765253962783,0.9749368154057734,0.9709388930513907,0.9697910748799163,0.9730624115572157,0.9759135514719295,0.970464013030733,0.9716620006281795,0.9668017448351183,0.9691342502680087,0.9695375176297849,0.9686373445865323,0.9743039260981938,0.9710369700644425,0.9718151203444341,0.9732684275329998,0.9682355536273677,0.9680628104329816,0.9718864256971157,0.973748396444998,0.970078543203867,0.9694275897844967,0.9710858007455849,0.9713609154769568,0.9729771843552237,0.9740652870586572,0.9717223259024228,0.9707315764990648,0.9726646597931916,0.9660360443683649,0.9715528844629716,0.9717958389701676,0.9638598641922409,0.9712301359792896,0.9766626541480792,0.9732602827342195,0.9728897450848795,0.9703374964463423,0.9715924326629576,0.9672448431718366,0.971014254217255,0.0027130865762058924,9
0.02518144130706787,0.0005820151292306882,0.0291951847076416,0.0008986153076698012,4,0.5,eigen,"{'n_components': 4, 'shrinkage': 0.5, 'solver': 'eigen'}",0.9732505187659379,0.9714201162856272,0.9684743369985485,0.968622913266873,0.9728626486150016,0.9662281633222628,0.9708841128804104,0.9758150963993977,0.9740510904985511,0.9683138358059276,0.9669765253962783,0.9749368154057734,0.9709388930513907,0.9697910748799163,0.9730624115572157,0.9759135514719295,0.970464013030733,0.9716620006281795,0.9668017448351183,0.9691342502680087,0.9695375176297849,0.9686373445865323,0.9743039260981938,0.9710369700644425,0.9718151203444341,0.9732684275329998,0.9682355536273677,0.9680628104329816,0.9718864256971157,0.973748396444998,0.970078543203867,0.9694275897844967,0.9710858007455849,0.9713609154769568,0.9729771843552237,0.9740652870586572,0.9717223259024228,0.9707315764990648,0.9726646597931916,0.9660360443683649,0.9715528844629716,0.9717958389701676,0.9638598641922409,0.9712301359792896,0.9766626541480792,0.9732602827342195,0.9728897450848795,0.9703374964463423,0.9715924326629576,0.9672448431718366,0.971014254217255,0.0027130865762058924,9
