mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_max_depth,param_min_child_weight,param_num_class,param_objective,param_reg_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,split30_test_score,split31_test_score,split32_test_score,split33_test_score,split34_test_score,split35_test_score,split36_test_score,split37_test_score,split38_test_score,split39_test_score,split40_test_score,split41_test_score,split42_test_score,split43_test_score,split44_test_score,split45_test_score,split46_test_score,split47_test_score,split48_test_score,split49_test_score,mean_test_score,std_test_score,rank_test_score
5.148832507133484,0.06392353599215755,0.06831586360931396,0.0005663139385553547,0,7,4,7,multi:softmax,0.001,"{'gamma': 0, 'max_depth': 7, 'min_child_weight': 4, 'num_class': 7, 'objective': 'multi:softmax', 'reg_alpha': 0.001}",0.9897695380070646,0.9901408151961512,0.9885831007498396,0.9899605775201508,0.9880883622090814,0.9884158552071034,0.9909699103888607,0.9894236765412578,0.990745464554661,0.991610451291628,0.9879629487333303,0.9867967601299468,0.9902393611831906,0.9926645602387115,0.9911140652557323,0.9900643384870568,0.9897637853131538,0.9917455105929825,0.9892054181761312,0.9892364444790266,0.9897221515364946,0.9884206976391056,0.9903083000424031,0.9908355549447873,0.9889146123387628,0.9896139539454433,0.9878661849807887,0.9890159724941985,0.9909559911597,0.9921973423937478,0.9883743791152764,0.9901124231790664,0.9896719288074352,0.9911179428189125,0.9901146325690771,0.9937260312341216,0.9870255330978077,0.9910927444394275,0.9893760124221105,0.987068517826884,0.9887667280167747,0.9895001115694567,0.9926243126266083,0.986720327913876,0.9882234761558946,0.9896888836249278,0.9883363009973122,0.9902574498292436,0.9894468889035984,0.9893901080679186,0.9896997287789244,0.0015123347072869098,1
5.051337976455688,0.04148475371889937,0.06757784843444824,0.0004303499970772776,0,7,5,7,multi:softmax,0,"{'gamma': 0, 'max_depth': 7, 'min_child_weight': 5, 'num_class': 7, 'objective': 'multi:softmax', 'reg_alpha': 0}",0.9898250856677926,0.9903391621451924,0.9881533063878422,0.9900282998671921,0.987970874572051,0.9888807062707092,0.9899493789010517,0.9899920398785669,0.9908367197808051,0.9910311593526302,0.9879833364205062,0.9873259866754257,0.9902371536028605,0.9923001988968837,0.9908025723622783,0.9896888783877097,0.9899438520538079,0.9915546376006246,0.9894077625286333,0.9888500290486567,0.9895807731276964,0.988772798565243,0.9902303900174833,0.9904289617025606,0.9891865513365843,0.9894325242912474,0.9883702229482566,0.9885409346809457,0.9916622870694288,0.9919018392295194,0.988882322977604,0.9900380501378487,0.9896738285860641,0.9904138092648107,0.9894353966524883,0.9936191542577193,0.9876489685360536,0.9910904647866895,0.9890979986416497,0.9868880537400146,0.9885382624958934,0.9897285778257775,0.9920740896821008,0.9871569689997612,0.9871447374381853,0.9886609626900258,0.9878134029388569,0.9907218591512066,0.9902151753787848,0.9895544819656259,0.9896320997903468,0.0014257560583786028,2
5.138282837867737,0.043642764214778355,0.06831527709960937,0.0005090632969529079,0,7,4,7,multi:softmax,0.01,"{'gamma': 0, 'max_depth': 7, 'min_child_weight': 4, 'num_class': 7, 'objective': 'multi:softmax', 'reg_alpha': 0.01}",0.98962308807698,0.990406035334306,0.9888055172707118,0.9906608691625157,0.988207456859287,0.9884358054974365,0.9905454244360101,0.9892914999424679,0.9903571013929842,0.9913174221046445,0.9884295765398399,0.9869400925224749,0.9896738881576373,0.9925748685958806,0.9909311529550093,0.9909607861634662,0.9901062589512553,0.9914933956910275,0.9889703090138771,0.9891318525434869,0.9895985566918201,0.9886312915103149,0.9902089539081309,0.9905235329565274,0.9889154333091265,0.9888981333474358,0.9879404200826004,0.9885111309243101,0.9912531001172538,0.9917780298786182,0.9887941832292848,0.9902616974962186,0.9894625362627123,0.9910513206605038,0.9891867813051147,0.9940252710363362,0.9870698568544649,0.991467483469606,0.988580781250905,0.9868772332883772,0.9882731077895339,0.9900328116495963,0.9923796007114278,0.9869892594409903,0.9881537664695509,0.9894854693555167,0.9874360539421415,0.989814386608568,0.9896881607901868,0.9894532615762357,0.9896320801424942,0.0015148776246151623,3
5.055105786323548,0.045779671190405664,0.06755733966827393,0.00047228815657972603,0,7,5,7,multi:softmax,0.001,"{'gamma': 0, 'max_depth': 7, 'min_child_weight': 5, 'num_class': 7, 'objective': 'multi:softmax', 'reg_alpha': 0.001}",0.9900875388722751,0.9904609477427831,0.9886213756317919,0.9901217551205657,0.9877249109520353,0.9888670824727999,0.9904370258917915,0.9896037379775725,0.9908822341111264,0.9910905730193316,0.9884719306902566,0.9873835443358301,0.9903118464800518,0.9924151365300699,0.9904084322370924,0.9900659830180644,0.9898381802169707,0.991181100639059,0.9892709828141439,0.9891690242763775,0.9894663015389744,0.9884009987463772,0.9902972638978256,0.9905467873712313,0.9890913542207007,0.98964732420562,0.9874112635598398,0.9886651334224134,0.9917239901446196,0.9915117738700419,0.9888941070411352,0.9895736813885867,0.989481776722888,0.9901497380462295,0.9898203696787361,0.9937800957147267,0.9874578473431865,0.9915411975866226,0.989016060870559,0.9871536692948787,0.9884566829202053,0.9901132984741879,0.9918726696059036,0.9862617263104715,0.9870095775841202,0.9890857406902072,0.9880305190407249,0.990404276090336,0.9901338645074752,0.9900176607186086,0.9896286018727484,0.0014662827470897403,4
4.491106524467468,0.024294274416759486,0.06697043895721436,0.00046368778226000575,0,5,4,7,multi:softmax,0.05,"{'gamma': 0, 'max_depth': 5, 'min_child_weight': 4, 'num_class': 7, 'objective': 'multi:softmax', 'reg_alpha': 0.05}",0.9902984438342303,0.9904388756437419,0.988193365997083,0.9894141094937756,0.9885156421827992,0.9886760554495686,0.9902876101251825,0.9893275783625939,0.9903905394326749,0.9908018532351214,0.9885092074804455,0.9872959162414183,0.9900949423860178,0.992514851493597,0.9912327585849156,0.9905524667224107,0.9897614517425521,0.9910594913583319,0.9893096379461717,0.9896750826503442,0.9893945240072568,0.9882155616955807,0.990416093398079,0.9901689323558388,0.9892413808486358,0.9898119534440744,0.9880692025699409,0.9881046812692075,0.9920267945257593,0.9917186492374729,0.9881333499431143,0.9901723751952298,0.9899185098325847,0.990233459310279,0.9901283369644156,0.9939035247290231,0.9863308439722122,0.9913683836134485,0.9895843365173995,0.9871562086316008,0.9884435589534626,0.9905044284856384,0.9921768670469746,0.9873462419022092,0.9872784132171388,0.9890494250409422,0.9878016851874193,0.9896188046638793,0.9893858010415473,0.989217221876405,0.9896253885967948,0.0014934484861806488,5
5.140109896659851,0.05538805642648573,0.06814164638519288,0.0005334351038414263,0,7,4,7,multi:softmax,0,"{'gamma': 0, 'max_depth': 7, 'min_child_weight': 4, 'num_class': 7, 'objective': 'multi:softmax', 'reg_alpha': 0}",0.9896058886632317,0.9898964680681305,0.9884143515504578,0.989868347174102,0.987702707058132,0.9880124650578669,0.9909436872931601,0.9896933031806698,0.9905619962206863,0.991489085140229,0.9878069393427534,0.9866659817165602,0.9895735800275333,0.9925852928575907,0.9912941451395376,0.9904355407393546,0.9900241261247775,0.9917245157050003,0.9894261983368102,0.9892877687865271,0.989713161261306,0.9880420091626132,0.9906662940483063,0.9903059116933385,0.9888894790261785,0.9896672849926752,0.9876111650043121,0.9888803135111817,0.9914801020340527,0.9922663391776467,0.9887040351471704,0.9896162847080046,0.9900331704194457,0.9908227366126884,0.9889898326244078,0.993870981269558,0.9865416695736012,0.9915289552870676,0.9893897242202107,0.9869897293979323,0.9888440832078935,0.9896393296481371,0.9920297286085777,0.9862135227659836,0.9879996948161983,0.9893760213173934,0.9879557377305105,0.9905694661998243,0.9899279435455346,0.9895934104506005,0.9896234101129092,0.0016008298059485785,6
5.131620836257935,0.0402172659772714,0.06822358131408691,0.0004378885796636323,0,7,4,7,multi:softmax,0.005,"{'gamma': 0, 'max_depth': 7, 'min_child_weight': 4, 'num_class': 7, 'objective': 'multi:softmax', 'reg_alpha': 0.005}",0.989828182769056,0.9896030293316633,0.9894284857142719,0.9900685164301027,0.9877138131548919,0.9886816320169544,0.9903808204476322,0.9897877302981506,0.9902759138131524,0.9915138880243457,0.9881488884121907,0.9874481680395476,0.9897200027754595,0.9922317301565287,0.9909184125255042,0.9905529078410213,0.9894561921705977,0.9912457449379145,0.9889080723882785,0.9885947760832732,0.9895635972480001,0.9879179235237586,0.9905157950105554,0.9908039617483284,0.9886207782619222,0.9896345558236901,0.9877389977166064,0.9890321628240978,0.9918525566902631,0.9921673605491581,0.9883448350662454,0.9896106940001307,0.9898992017813992,0.9905796168908788,0.9894226871736349,0.9938833042316734,0.9871813391506121,0.9914138434744538,0.989245769682894,0.9868786530414635,0.9882327597610236,0.9900190023761704,0.99210537611199,0.9863831370682267,0.9872338745374692,0.9892367917056909,0.9883058327241724,0.9905970339142337,0.9902348477988919,0.9897597925095966,0.9896184597945554,0.0015276981882931448,7
4.479009227752686,0.02798890918002047,0.06692864894866943,0.00047413346120815783,0,5,4,7,multi:softmax,0.01,"{'gamma': 0, 'max_depth': 5, 'min_child_weight': 4, 'num_class': 7, 'objective': 'multi:softmax', 'reg_alpha': 0.01}",0.9901250077680755,0.9901046712273474,0.9882981014124675,0.989095652843847,0.9883228388145383,0.9887599705458865,0.9909173632640117,0.9892867730475666,0.9907131776787746,0.9912884412283434,0.9880819973051059,0.9872735182314187,0.9907915438061682,0.9930607255596021,0.9903367574437183,0.9905615131918332,0.9897505204875345,0.9914307702526223,0.9897721332393683,0.9889948196562577,0.9886619172342836,0.9884001024689549,0.9902041192466511,0.9911722900793297,0.9890893379327039,0.9896279050026161,0.9875723738335532,0.9884657968987447,0.9919082984929494,0.9914834925822185,0.9884674930729156,0.989852659241428,0.9900195896441873,0.989829537951246,0.9907477139744788,0.9932663915032356,0.9865981389066871,0.9913901451795109,0.988879713007081,0.9867791003561919,0.9883723121413542,0.9898122823970764,0.9922931011980068,0.9866969979544621,0.9878639172459109,0.989353356599284,0.9879306447261553,0.9900967928956547,0.9892499731002259,0.9894648061693815,0.9896103319608194,0.0015315733985751224,8
4.477342052459717,0.02803239330345582,0.0669325351715088,0.00041670822172358324,0,5,4,7,multi:softmax,0.005,"{'gamma': 0, 'max_depth': 5, 'min_child_weight': 4, 'num_class': 7, 'objective': 'multi:softmax', 'reg_alpha': 0.005}",0.9902479793503851,0.9893500438695003,0.988150087295914,0.9892524399059897,0.988353571774389,0.9892275760295567,0.9904704688824397,0.9893282865488565,0.9906998522357219,0.9911057671957673,0.9881629818994059,0.9868240265017489,0.9902218591119896,0.992897707947592,0.9904628766815368,0.990447666993792,0.9896666632903326,0.9920003139875366,0.9894848674442104,0.9895611882283777,0.9891425846738076,0.9884899131015169,0.9903188370241651,0.9911439992973419,0.9886500468582495,0.9896821387233622,0.9883003664057964,0.9886641477970972,0.9921094982637181,0.9913672384756371,0.9885587340454146,0.9895128631811465,0.9894491604000313,0.9902564987647201,0.9894441921706957,0.9936985278949215,0.9867666817955406,0.9915352554200005,0.9897145686307368,0.9864470830307432,0.9880940641561204,0.9901536754633989,0.9922119974456656,0.9871223899486298,0.9874845388525781,0.9893855615561817,0.9874494445167068,0.9898757989970303,0.9894863902316583,0.9895186239928073,0.9895990209258093,0.0015433170350114438,9
4.418560757637024,0.026638277310668545,0.06635386466979981,0.0003378667464774224,0,5,5,7,multi:softmax,0,"{'gamma': 0, 'max_depth': 5, 'min_child_weight': 5, 'num_class': 7, 'objective': 'multi:softmax', 'reg_alpha': 0}",0.9896841010420694,0.9904325845861122,0.9882277582632932,0.9894948522469992,0.9879905424144969,0.9883955634501602,0.9905999111812408,0.9893021705056186,0.9906903319824722,0.9907902534841098,0.9882952184991284,0.9870846908508689,0.990454796513402,0.9923133803020807,0.9904878235985753,0.9902126782393805,0.99003805243331,0.99024305345719,0.9895508680705436,0.9894563383131031,0.9889462072530051,0.9880736247653461,0.9900623691172472,0.9907972822740965,0.9889889881384656,0.9895925324091582,0.9882180947930432,0.9881057384611527,0.9917864614299722,0.9921261821765747,0.9888679932027152,0.9905629411583075,0.9894755476517465,0.9906360477038716,0.9894558771656813,0.993698390512666,0.987653987083438,0.9911782113569029,0.9893985532722656,0.9863454248366015,0.9883548160559241,0.9903950181889136,0.9920295752314047,0.9871570602525244,0.9880892945326283,0.9892071897575437,0.9877028117497719,0.9904266108088609,0.9892170707722137,0.9896405987827231,0.9895987094065783,0.0014527714718111373,10
