mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,split30_test_score,split31_test_score,split32_test_score,split33_test_score,split34_test_score,split35_test_score,split36_test_score,split37_test_score,split38_test_score,split39_test_score,split40_test_score,split41_test_score,split42_test_score,split43_test_score,split44_test_score,split45_test_score,split46_test_score,split47_test_score,split48_test_score,split49_test_score,mean_test_score,std_test_score,rank_test_score
0.015321311950683593,0.0003705067633106612,0.21295814990997314,0.014595898357878393,manhattan,9,distance,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.9828330777626691,0.9839192216908005,0.9896067241915809,0.9775843738699311,0.9899185860393542,0.9810824623644882,0.9836252937981769,0.983494911849413,0.987008783423254,0.9860414264965247,0.9837884091129243,0.986156425487543,0.9761111423742033,0.9837851753531425,0.9902915162361243,0.983921202139196,0.9838805002418981,0.9872484471860472,0.9840781598198827,0.9822007837085452,0.9861021631292436,0.981699211519009,0.9806707730571802,0.9903564822759267,0.9839512094961445,0.9853300739841722,0.9832371903136918,0.9844572641027766,0.9790996323774491,0.9877783073970331,0.9880345528407043,0.9842788686512762,0.9839054267969531,0.9836329978899403,0.9819617865788292,0.9800528573687259,0.983545270701377,0.9896880216246524,0.985988419327313,0.9851884324100014,0.986049678316145,0.978564132274386,0.9879595125055223,0.9849167272565138,0.9851335594978734,0.9848705852523084,0.9825240828787288,0.9858614755499513,0.9808605894249253,0.9837387022339803,0.9843202922035686,0.0031319568320442846,1
0.014960942268371582,0.00033877704850178615,0.16833878993988038,0.003437783109164165,euclidean,9,distance,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.9832480120328538,0.9816097674917035,0.9891992209153202,0.9779132153541606,0.988234753345783,0.9809057961215906,0.9836792431045593,0.9812704704984879,0.9884859074217986,0.9853278748659958,0.9845234897582248,0.9844550962883135,0.9745407827850547,0.9845327662770955,0.9901437217726599,0.9830641490780551,0.9808605964068023,0.9871881882417328,0.9818353291200468,0.9814244511014282,0.9853274205086979,0.9806547958101767,0.9795510358038582,0.9891049549698027,0.982257951810354,0.9827015814827039,0.9809903766621633,0.986118874828634,0.982240379983884,0.9864246299754471,0.9863583252259529,0.9825056641013548,0.9849897630752587,0.9824380998704157,0.9823382018362903,0.9807978958039442,0.9865992374410094,0.9873845370839263,0.9815756155073245,0.9835383829581217,0.9875664798016158,0.9794581364097598,0.986339982759166,0.9836697406177473,0.9861697319915622,0.9846683435347096,0.9851294093823288,0.984682286101805,0.9799338838090115,0.9811653921568627,0.983702478865711,0.0031242925570711937,2
0.015280518531799316,0.00035946007599175713,0.21805559635162353,0.0044103863850295045,manhattan,9,uniform,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.9820089025072157,0.9827461334427756,0.988561623370374,0.9768655791073717,0.9892407170522531,0.9804345307418731,0.9829318968558229,0.9830595251300636,0.9860153986767675,0.9849996866030365,0.9831437579722018,0.9852630685664485,0.9750914629297691,0.9828705386210503,0.9895103043192588,0.9829015036086158,0.9829965091602342,0.9867394671208484,0.9833197785628753,0.9813214275339766,0.9850344736249971,0.9806806740685048,0.9798377100453395,0.989767093243786,0.9829271476985857,0.9845894329344322,0.9819743680469177,0.9837951503090224,0.9782317899737686,0.9871967225161671,0.9871374181248725,0.9833187508236778,0.9833206123013536,0.9826595449190798,0.9809181107134213,0.9790441521040529,0.9827681145200831,0.9890634410518224,0.9850820637590715,0.9844209674240068,0.9850506136052694,0.9778770740594878,0.987432555739917,0.9841892969344638,0.9841710242245048,0.9840209917445513,0.9816381551240111,0.9853826434597011,0.980032679434709,0.9829802866825744,0.9834912974218998,0.003174594804404112,3
0.015047473907470703,0.0004074440408745628,0.16875935077667237,0.003854305148665533,euclidean,9,uniform,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.9824391109954019,0.9808126864317266,0.9881185868466049,0.9772832748564474,0.9872373803472009,0.9802159780934083,0.9830049510875603,0.9806667198347061,0.9874625607259663,0.98431639269288,0.9837710994111661,0.9834352587541686,0.9736422796125332,0.9835457081276827,0.9894014938444515,0.9819716274831947,0.979906250138243,0.9867115909433555,0.9809952916675408,0.9806090374174362,0.9846004568826364,0.9795918524455518,0.978895982728942,0.9885542824100442,0.9813951142061764,0.9819692975452169,0.9796568808747868,0.9853172454120578,0.9814186782564109,0.9859541575889615,0.9857735672829792,0.9817776096185096,0.9843079389856705,0.9816456918424527,0.9814897357090988,0.9799036516869866,0.9856151761059664,0.9868345777367276,0.9807951085130174,0.9830422719334647,0.9865980750349141,0.9784893206495937,0.9854369330453652,0.9831158188663487,0.985389776342636,0.9838821368335064,0.9842561039357325,0.9840313600411245,0.9791242012700992,0.9803647210118616,0.9828955000821703,0.0031452488618531186,4
0.014936652183532715,0.00033961369114770726,0.16475581645965576,0.003479016527605403,euclidean,7,distance,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.9813220201402677,0.9807088923548128,0.9887193785969224,0.9759099933302247,0.9876260522357091,0.9784840050293784,0.9814236976178335,0.9783063317468363,0.9868365785423105,0.9845543341287136,0.9814684295933436,0.9828699979540307,0.9732193639503792,0.9829552792348176,0.9902607349483004,0.9824200239768753,0.979544548500165,0.984426786232287,0.9811778625042018,0.9809792154269117,0.9847586217616904,0.9797947028170203,0.9774342190202757,0.9878499930918243,0.9811750209219492,0.9827901965141234,0.9799934039468543,0.9846010165957217,0.9790214870300542,0.9844173310682297,0.9855714196681579,0.9779458496903073,0.9828175451596092,0.9806398314077288,0.979964290642183,0.9801972477684242,0.9860267024905746,0.9860928682209057,0.9802982666530262,0.9830780800221323,0.9862771148184152,0.9798267162254571,0.9868875385367744,0.9838697734142207,0.9836678155583222,0.9847655103914594,0.9856747086599726,0.9831426445790683,0.978555201374277,0.9804697312134729,0.9824163675061311,0.0034206364895883706,5
0.015297751426696777,0.00035216154874059786,0.2131137418746948,0.004626987552237056,manhattan,7,distance,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.9816822138272961,0.9819074936376436,0.9883097307528013,0.9744130915216562,0.9897341876750702,0.9811875346122998,0.9826085367900574,0.979848332097818,0.9854018290396119,0.9860040891171284,0.981292626076244,0.9832917010164091,0.9752750800225884,0.9815007863104256,0.990291771795138,0.9829538558086701,0.9785505296760661,0.9837945437588091,0.981426308816879,0.980079231853235,0.9851279572243647,0.9799584806676955,0.9788210666605419,0.9890770719129094,0.9820949837465852,0.9846896935161112,0.9828254894628682,0.9825251456154055,0.9782659741621735,0.9849919058858113,0.984734755820786,0.9813646571115966,0.9815157306867018,0.9818541040093267,0.9819763833558117,0.9798729371420298,0.9799368836957527,0.987918746177342,0.9843716531189118,0.9821847607808557,0.9834174292863868,0.9738023673796292,0.9853502366302944,0.9828768283082855,0.9854390639589171,0.9830113336460732,0.98191851434323,0.9804246834858805,0.9792768194628113,0.9815975546391398,0.9824155337220014,0.003421530324123788,6
0.014942302703857421,0.0003309320892924193,0.16349971294403076,0.003053856775025806,euclidean,7,uniform,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.9806013274364045,0.9799808200709983,0.9875218944437056,0.9753957091208567,0.9867140839298683,0.97769363660079,0.9808310096967313,0.9778478250449908,0.9857649257323153,0.9837180803679496,0.9806763376854726,0.9817546620739162,0.9724296663808693,0.9820409095544042,0.9896637958640249,0.9814485404113154,0.9786267034901032,0.9839921457200436,0.9803917139477072,0.9801554666804997,0.9841662938603214,0.9786660595449618,0.9767458884183451,0.9872473246647729,0.9803933798457656,0.9821865354402595,0.9789592988269978,0.9838845519315539,0.9782473663716587,0.983593716412491,0.9849311706041244,0.9771644289984401,0.9822847074535062,0.9797519051019915,0.979235398122212,0.9794583186872305,0.9851902019106866,0.9853739357669747,0.9796024755434974,0.9824898443821976,0.9852553445168439,0.978831722075374,0.9862578608152879,0.9831765253030073,0.98282885301034,0.9839428068332501,0.9850571820515908,0.9825517255824204,0.9776900215926331,0.9795378701110075,0.9816390393606543,0.0034192156256906917,7
0.015277981758117676,0.0004011239690828174,0.21382933616638183,0.005043201124985646,manhattan,7,uniform,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.9811680224486772,0.980768048475422,0.9871056136762293,0.9737695885175601,0.989213800619013,0.9805850543305089,0.9819893576611243,0.9791340642810192,0.9843156032802647,0.9850492530345474,0.9803866268174553,0.9821238315279249,0.9741822569647759,0.9808256638803943,0.9896372251616699,0.9819649736869355,0.9777149863314742,0.9830934244964148,0.9806863520686362,0.9791080568523707,0.984263092273217,0.9789772033708563,0.9778090247639704,0.9884506260723113,0.9811189405885811,0.984008162287745,0.9813561985421746,0.9817409792365044,0.977438723606474,0.984569829339143,0.9838066273661374,0.980458076867049,0.9810770539486183,0.9808249784084442,0.9809698359961269,0.9788669112659166,0.9791934066256358,0.9872728245543451,0.9835994306008397,0.9814609996714736,0.9823910109148859,0.9732318607424192,0.9847509638094929,0.9821479501189257,0.9841889046235783,0.9822429859695043,0.9811129068807161,0.9797937814878412,0.9783480802699837,0.9809786737905041,0.9815854369621166,0.0034361248278899697,8
0.014898676872253418,0.0003627010810371159,0.15870074272155762,0.0031548497046154566,euclidean,5,distance,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.9778993461478249,0.9788933224613144,0.9879921540373224,0.9717889072033289,0.9842562895528584,0.9790331111460333,0.9770438499945783,0.97357787485464,0.9875458710200642,0.9833799888473909,0.9776214198614896,0.9829431274067038,0.9716813055381804,0.9822451320378331,0.9857762629249232,0.9802030318800711,0.9783115259812311,0.98027167928291,0.9807462570399815,0.9768131939689457,0.9817099372967952,0.9771154335876583,0.9746411991353549,0.9852861384369435,0.9772788645952207,0.9820909221317844,0.9785311008789244,0.9812551304873939,0.97774473705883,0.9813221169208426,0.984279613032663,0.9742252383081812,0.9799726959165076,0.9777370080133017,0.9771883405954978,0.9776294445496904,0.9832265037704679,0.9836616504479881,0.9746680128724003,0.9808052080955841,0.9834708792518952,0.9779281851558901,0.9841433147702494,0.9799445495604939,0.9805454026178374,0.9824557557933409,0.9824486603658924,0.9797445860000007,0.9721437406246848,0.9763130986962689,0.9797506224031242,0.003850960509357772,9
0.015235919952392579,0.0004508748313184762,0.20717514514923097,0.004630499035444398,manhattan,5,distance,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.9791653271144602,0.9814882860483308,0.9871643241281841,0.9711885984572461,0.9874220430023863,0.9785246929923339,0.9774375027850578,0.9773748049497778,0.9829084464216452,0.982365482501643,0.9784523963743161,0.982855647670419,0.9731548479708361,0.9771105914913989,0.987182340664661,0.980060210394868,0.9770140161435348,0.980846591217268,0.9792590037461798,0.9767580478611201,0.9817260482940805,0.9775514088322428,0.9751036905507926,0.98610728046514,0.9788834280008298,0.9821391918090177,0.9813123690841765,0.9801058094932797,0.9778153425364774,0.980196451914099,0.9854968168635031,0.9785164536673412,0.9764425062123371,0.9796120152119775,0.9795265515094927,0.9752028768249907,0.9769664191535178,0.9842576690672031,0.9803769668188359,0.9794940827195079,0.9813342070795754,0.9716643720297661,0.9832889411122911,0.97837874150755,0.9848745133485494,0.9837384215947745,0.9805607372144216,0.9751719299789368,0.9743046773575508,0.9760947547290526,0.9796795575383396,0.003800310317758977,10
